timestamp,eeg_adc,eeg_v,ecg_adc,ecg_v,spo2_percent
1094341485,563,0.45369963369963373,2042,0.014505494505494505,95.7
1094351485,3180,2.5626373626373624,2509,0.3908424908424908,95.7
1094361485,1931,1.556117216117216,2695,0.5407326007326007,95.7
1094371485,445,0.3586080586080586,2069,0.03626373626373627,95.7
1094381485,2139,1.7237362637362637,1637,-0.31186813186813184,95.7
1094391485,0,0.0,1435,-0.47465201465201456,95.7
1094401485,2907,2.3426373626373627,1711,-0.25223443223443226,95.7
1094411485,2589,2.0863736263736263,1877,-0.11846153846153845,95.7
1094421485,0,0.0,1740,-0.22886446886446887,95.7
1094431485,2633,2.121831501831502,1883,-0.11362637362637362,95.7
1094441485,2795,2.2523809523809524,1975,-0.03948717948717949,95.7
1094451485,3385,2.7278388278388275,2031,0.005641025641025641,98.4
1094461485,684,0.5512087912087912,1932,-0.07413919413919413,98.4
1094471485,4095,3.3,2039,0.012087912087912087,98.4
1094481485,4095,3.3,2119,0.07655677655677656,98.4
1094491485,1529,1.232161172161172,1981,-0.03465201465201465,98.4
1094501485,2591,2.087985347985348,2029,0.004029304029304029,98.4
1094511485,3845,3.098534798534798,2065,0.03304029304029304,98.4
1094521485,965,0.7776556776556776,1955,-0.0556043956043956,98.4
1094531485,2155,1.7366300366300367,2008,-0.012893772893772894,98.4
1094541485,2375,1.913919413919414,2020,-0.0032234432234432234,98.4
1094551485,1893,1.5254945054945055,2016,-0.006446886446886447,98.4
1094561485,1885,1.519047619047619,1983,-0.03304029304029304,98.4
1094571485,2614,2.1065201465201464,2031,0.005641025641025641,98.4
1094581485,1502,1.2104029304029302,2013,-0.008864468864468863,98.4
1094591485,2133,1.7189010989010989,2063,0.03142857142857143,98.4
1094601485,2789,2.2475457875457874,2083,0.047545787545787546,98.4
1094611485,2581,2.07992673992674,2111,0.0701098901098901,98.4
1094621485,1529,1.232161172161172,2041,0.0136996336996337,98.4
1094631485,2668,2.15003663003663,2107,0.06688644688644689,98.4
1094641485,221,0.17809523809523808,1929,-0.07655677655677656,98.4
1094651485,2451,1.975164835164835,2003,-0.016923076923076923,98.4
1094661485,1929,1.5545054945054944,1915,-0.08783882783882783,98.4
1094671485,3491,2.813260073260073,2002,-0.017728937728937726,98.4
1094681485,777,0.6261538461538461,1817,-0.1668131868131868,98.4
1094691485,2804,2.2596336996336994,1851,-0.13941391941391942,98.4
1094701485,1224,0.9863736263736262,1849,-0.14102564102564102,98.4
1094711485,2429,1.9574358974358974,1845,-0.14424908424908423,98.4
1094721485,31,0.02498168498168498,1745,-0.2248351648351648,98.4
1094731485,691,0.5568498168498168,1717,-0.24739926739926738,98.4
1094741485,2905,2.341025641025641,1971,-0.04271062271062271,98.4
1094751485,0,0.0,1775,-0.20065934065934066,98.4
1094761485,3023,2.436117216117216,1927,-0.07816849816849816,98.4
1094771485,2777,2.237875457875458,2005,-0.01531135531135531,98.4
1094781485,2833,2.283003663003663,1995,-0.02336996336996337,98.4
1094791485,2855,2.3007326007326006,2011,-0.010476190476190476,98.4
1094801485,2439,1.9654945054945054,2019,-0.004029304029304029,98.4
1094811485,2477,1.9961172161172158,1976,-0.03868131868131868,98.4
1094821485,2764,2.2273992673992673,2009,-0.012087912087912087,98.4
1094831485,2473,1.9928937728937726,2019,-0.004029304029304029,98.4
1094841485,1785,1.4384615384615385,1972,-0.0419047619047619,98.4
1094851485,2485,2.002564102564102,1979,-0.03626373626373627,98.4
1094861485,1373,1.1064468864468864,1933,-0.07333333333333333,98.4
1094871485,2922,2.3547252747252747,1979,-0.03626373626373627,98.4
1094881485,1696,1.3667399267399267,1949,-0.06043956043956044,98.4
1094891485,2791,2.249157509157509,1995,-0.02336996336996337,98.4
1094901485,2238,1.8035164835164832,1970,-0.04351648351648352,98.4
1094911485,1304,1.0508424908424907,1918,-0.08542124542124542,98.4
1094921485,2232,1.7986813186813184,1961,-0.05076923076923077,98.4
1094931485,935,0.7534798534798535,1887,-0.1104029304029304,98.4
1094941485,1516,1.2216849816849817,1890,-0.10798534798534798,98.4
1094951485,3436,2.768937728937729,2019,-0.004029304029304029,98.4
1094961485,1975,1.5915750915750915,1976,-0.03868131868131868,98.4
1094971485,1461,1.1773626373626374,1909,-0.09267399267399268,98.4
1094981485,1929,1.5545054945054944,1957,-0.05399267399267399,98.4
1094991485,697,0.5616849816849817,1876,-0.11926739926739927,98.4
1095001485,3089,2.489304029304029,2029,0.004029304029304029,98.4
1095011485,1060,0.8542124542124543,1967,-0.04593406593406593,98.4
1095021485,553,0.4456410256410256,1919,-0.0846153846153846,98.4
1095031485,1837,1.4803663003663003,1961,-0.05076923076923077,98.4
1095041485,1439,1.1596336996336996,2025,0.0008058608058608059,98.4
1095051485,2777,2.237875457875458,2073,0.03948717948717949,98.4
1095061485,112,0.09025641025641025,1909,-0.09267399267399268,98.4
1095071485,1167,0.9404395604395603,1915,-0.08783882783882783,98.4
1095081485,2175,1.7527472527472527,1943,-0.06527472527472526,98.4
1095091485,1878,1.5134065934065932,1863,-0.12974358974358974,98.4
1095101485,2701,2.1766300366300366,1943,-0.06527472527472526,98.4
1095111485,3477,2.8019780219780217,1997,-0.02175824175824176,98.4
1095121485,2029,1.635091575091575,1981,-0.03465201465201465,98.4
1095131485,2085,1.68021978021978,1967,-0.04593406593406593,98.4
1095141485,1085,0.8743589743589744,1895,-0.10395604395604395,98.4
1095151485,2623,2.1137728937728935,2043,0.01531135531135531,98.4
1095161485,2707,2.181465201465201,2311,0.23128205128205126,98.4
